"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Févr 2000","10.128,31","10.937,74","11.118,93","9.836,06","3,66B","-7,42%"
"Jan 2000","10.940,53","11.501,85","11.750,28","10.701,64","202,32M","-0,00%"
"Jan 2000","10.940,54","11.501,85","11.750,28","10.701,64","3,83B","-4,84%"
"Déc 1999","11.497,12","10.876,47","11.568,77","10.859,65","3,17B","5,69%"
"Nov 1999","10.877,81","10.730,79","11.112,77","10.536,27","3,25B","1,38%"
"Oct 1999","10.729,87","10.335,69","10.790,02","9.976,02","2,29B","3,80%"
"Sept 1999","10.336,96","10.828,44","11.142,41","10.081,13","1,75B","-4,55%"
"Août 1999","10.829,28","10.654,83","11.365,93","10.549,08","89,01M","0,00%"
"Août 1999","10.829,28","10.654,83","11.365,93","10.549,08","1,82B","1,63%"
"Juill 1999","10.655,15","10.966,05","11.252,27","10.647,86","1,67B","-2,88%"
"Juin 1999","10.970,81","10.561,01","11.003,41","10.409,14","1,77B","3,89%"
"Mai 1999","10.559,74","10.789,04","11.130,67","10.434,26","95,77M","-0,00%"
"Mai 1999","10.559,75","10.789,04","11.130,67","10.434,26","1,84B","-2,13%"
"Avr 1999","10.789,04","9.786,44","10.961,71","9.765,63","2,10B","10,25%"
"Mar 1999","9.786,16","9.307,39","10.085,31","9.211,23","1,95B","5,15%"
"Févr 1999","9.306,57","9.359,60","9.611,33","9.099,04","1,55B","-0,56%"
"Jan 1999","9.358,83","9.184,01","9.647,96","9.063,26","96,45M","0,00%"
"Jan 1999","9.358,82","9.184,01","9.647,96","9.063,26","1,75B","1,93%"
"Déc 1998","9.181,43","9.116,55","9.334,88","8.676,03","1,49B","0,71%"
"Nov 1998","9.116,55","8.595,70","9.380,20","8.595,70","73,06M","0,00%"
"Nov 1998","9.116,55","8.595,70","9.380,20","8.595,70","1,39B","6,10%"
"Oct 1998","8.592,11","7.841,33","8.659,81","7.467,49","1,92B","9,56%"
"Sept 1998","7.842,62","7.545,76","8.182,47","7.400,30","1,90B","4,03%"
"Août 1998","7.539,07","8.883,29","8.886,12","7.539,07","83,79M","0,00%"
"Août 1998","7.539,06","8.883,29","8.886,12","7.539,07","1,64B","-15,13%"
"Juill 1998","8.883,29","8.958,99","9.367,84","8.816,09","1,50B","-0,77%"
"Juin 1998","8.952,01","8.900,95","9.104,72","8.569,88","1,29B","0,58%"
"Mai 1998","8.899,95","9.066,61","9.261,91","8.788,10","1,07B","-1,80%"
"Avr 1998","9.063,36","8.801,56","9.213,33","8.748,74","1,39B","2,99%"
"Mar 1998","8.799,81","8.544,47","8.959,24","8.405,72","56,98M","0,00%"
